,isMalware,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,1,21,21,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,21,1,1,1,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1
1,0,10,10,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,10,0,0,0,1,2,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0
2,0,15,15,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,2,15,1,0,1,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
3,1,7,7,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
4,0,9,9,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,9,0,0,0,1,2,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
5,0,9,9,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,9,1,0,0,1,2,0,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
6,1,11,11,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,2,11,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1
7,0,12,12,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,12,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
8,1,11,11,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,11,1,1,1,1,2,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1
9,1,9,9,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,9,1,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1
10,0,9,9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,9,1,0,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
11,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,9,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,9,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
13,1,6,6,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
14,1,8,8,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,8,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0
15,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0
16,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0
17,0,6,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,6,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0
18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0
20,1,3,3,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,3,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1
21,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
22,0,8,8,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,8,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0
23,0,8,8,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,8,1,0,0,1,2,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0
24,0,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
25,0,12,12,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2,12,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
26,0,15,15,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,15,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
27,1,7,7,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,7,1,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1
28,1,7,7,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,7,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0
29,0,10,10,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,10,1,0,0,1,2,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1
30,1,10,10,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,10,1,0,0,1,2,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
31,0,7,7,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,7,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
32,0,10,10,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,10,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
33,0,4,4,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,4,1,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
34,1,15,15,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,15,1,1,1,1,2,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1
35,0,5,5,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,5,1,0,0,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
36,1,11,11,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,11,1,0,0,1,2,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
37,0,12,12,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,12,1,0,0,1,2,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
38,0,8,8,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,8,1,0,1,1,2,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0
39,0,12,12,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,12,1,0,0,1,2,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1
40,0,5,5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,5,1,1,0,1,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1
41,0,5,5,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,5,1,0,0,1,2,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0
